accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp,unclassified,model,fold
0.7333826065533383,0.7437541748760584,0.3120360937272595,0.7581329561527581,0.44210743375605727,0.7293753935993588,0.816312245382665,0.3915106600154671,12740,4727,684,2144,0,Logistic Regression (A),1
0.7346637102734663,0.7505737329370098,0.3154323661036524,0.7726308345120226,0.44797539723218865,0.728516631361997,0.825501659261445,0.4062616998380959,12725,4742,643,2185,0,Logistic Regression (A),2
0.7372259177137226,0.7489505164274617,0.31669837553051366,0.7652050919377652,0.4479867508539489,0.7326959409171581,0.8266288606140219,0.41102163352787113,12798,4669,664,2164,0,Logistic Regression (A),3
0.7271741808327175,0.7447408910672451,0.3081172970675733,0.7690947666195191,0.43997167998381714,0.7203870155149711,0.8234867564772982,0.39923510593384703,12583,4884,653,2175,0,Logistic Regression (A),4
0.731841923721297,0.7463817818547883,0.3118434307094546,0.7665369649805448,0.44333060556464815,0.7262265987290318,0.8252415201709691,0.41135073576632,12685,4782,660,2167,0,Logistic Regression (A),5
0.7358332512072534,0.7463285914523257,0.3146576945582212,0.7608772550406792,0.445203352995964,0.7317799278639721,0.8236093960111835,0.40873410788036313,12782,4685,676,2151,0,Logistic Regression (A),6
0.7302158273381295,0.7463265865599427,0.3106948813268516,0.7686593562079943,0.4425211281946848,0.723993816911891,0.8235632328577802,0.4070548362792701,12646,4821,654,2173,0,Logistic Regression (A),7
0.7295259682664827,0.7452179267345196,0.30990141448778397,0.766973125884017,0.4414368576371222,0.7234627275850223,0.823187049528921,0.411402455862832,12636,4830,659,2169,0,Logistic Regression (A),8
0.7318911993692717,0.7471847303737097,0.3122575082626814,0.7683875530410184,0.44405844487585566,0.725981907706401,0.8251387500726811,0.4098222762584612,12680,4786,655,2173,0,Logistic Regression (A),9
0.7284911796590126,0.7420977608385562,0.3080446607500716,0.7609618104667609,0.4385571632361932,0.7232337112103515,0.8203873688885305,0.40682676666306206,12632,4834,676,2152,0,Logistic Regression (A),10
0.7926582902192658,0.7162521421481882,0.3572019867549669,0.6103253182461104,0.4506527415143603,0.8221789660502662,0.816676439928873,0.40952162293081856,14361,3106,1102,1726,0,Random Forest (A),1
0.7997536338999753,0.7301539480105909,0.37178423236514524,0.6336633663366337,0.46861924686192463,0.826644529684548,0.8250434705363576,0.4209267930251579,14439,3028,1036,1792,0,Random Forest (A),2
0.7992609016999261,0.7272004901706342,0.37004589069670424,0.6272984441301273,0.46549462083442666,0.827102536211141,0.8261189477607765,0.42544152797608514,14447,3020,1054,1774,0,Random Forest (A),3
0.7930032027593004,0.7260840891399252,0.36145307769929363,0.6333097595473833,0.4602338429911345,0.8188584187324669,0.8245984912021207,0.4185451017347489,14303,3164,1037,1791,0,Random Forest (A),4
0.7981669458953385,0.7325826746232407,0.3704308760465591,0.6416696144322603,0.4697048161574313,0.8234957348142211,0.8276998827583488,0.4277162936821839,14384,3083,1013,1814,0,Random Forest (A),5
0.7990046319109096,0.7255090396446002,0.3689828380075345,0.6236292889989388,0.4636423405654175,0.8273887902902617,0.8251565653876716,0.4257561552205085,14452,3015,1064,1763,0,Random Forest (A),6
0.7971321572878683,0.7293132115583302,0.3678820155673904,0.6353024407499116,0.4659488909067324,0.8233239823667488,0.8290776994827924,0.4328023587859705,14381,3086,1031,1796,0,Random Forest (A),7
0.7968365034000197,0.7302381057657221,0.36793799714460534,0.637906647807638,0.46669253654119774,0.8225695637238063,0.8272435263598009,0.428245324148279,14367,3099,1024,1804,0,Random Forest (A),8
0.7959002660884991,0.7311759553537922,0.3670578713071631,0.6414427157001414,0.46692406692406696,0.8209091950074431,0.8283685247604115,0.43416524139936374,14338,3128,1014,1814,0,Random Forest (A),9
0.7953089583128018,0.7266834930536288,0.36463862801143326,0.6315417256011315,0.46233497281905256,0.8218252605061261,0.820577392553016,0.4228324895487149,14354,3112,1042,1786,0,Random Forest (A),10
0.7694506035969451,0.6814319449349183,0.31545363908275176,0.5594059405940595,0.4034170597985465,0.8034579492757772,0.7768573435993952,0.344750613515426,14034,3433,1246,1582,0,Gaussian Naive Bayes (A),1
0.7747228381374723,0.6902738050633205,0.3251103088648215,0.5731966053748232,0.4148963399027387,0.8073510047518178,0.784123713101667,0.3409365415171078,14102,3365,1207,1621,0,Gaussian Naive Bayes (A),2
0.7791081547179108,0.6917842204605023,0.330534507474913,0.5707213578500707,0.41862274672545713,0.8128470830709338,0.7885139882691703,0.3463866701761139,14198,3269,1214,1614,0,Gaussian Naive Bayes (A),3
0.7729982754372998,0.6901609837066769,0.32326644148619116,0.5753182461103253,0.41394224653351996,0.8050037213030286,0.7846353163520557,0.33715316715541616,14061,3406,1201,1627,0,Gaussian Naive Bayes (A),4
0.7712624421011136,0.6870086153060897,0.3199047430045644,0.5702157764414574,0.4098652428171879,0.8038014541707219,0.7842685876154882,0.3350701615004044,14040,3427,1215,1612,0,Gaussian Naive Bayes (A),5
0.7772740711540357,0.6933174850978273,0.3291624621594349,0.5769366819950478,0.4191724492418401,0.8096982882006069,0.7879182208042256,0.34416881712822545,14143,3324,1196,1631,0,Gaussian Naive Bayes (A),6
0.7735783975559278,0.6871680852562867,0.32234726688102894,0.5673859214715246,0.411123926694861,0.8069502490410488,0.7854345742962388,0.3385332228739595,14095,3372,1223,1604,0,Gaussian Naive Bayes (A),7
0.7738740514437765,0.696745918641528,0.3272513243084167,0.5898161244695899,0.42094637223974757,0.8036757128134662,0.7875863812027766,0.3430553584806721,14037,3429,1160,1668,0,Gaussian Naive Bayes (A),8
0.7735783975559278,0.6893135153187498,0.3234765234765235,0.5724893917963225,0.4133792927358611,0.8061376388411772,0.7871680497538883,0.35195523124558104,14080,3386,1209,1619,0,Gaussian Naive Bayes (A),9
0.7699812752537696,0.6829266268139303,0.31673306772908366,0.5622347949080623,0.4051987767584098,0.8036184587197984,0.7815297767446667,0.34012553069688667,14036,3430,1238,1590,0,Gaussian Naive Bayes (A),10
0.7325449618132545,0.7435638989149796,0.3113755078351712,0.7588401697312589,0.4415637860082304,0.7282876280987004,0.816234466869795,0.3913011737339243,12721,4746,682,2146,0,Logistic Regression (B),1
0.7340231584134023,0.7515352045145709,0.3153204943949411,0.7758132956152758,0.4483956672797874,0.7272571134138661,0.825443315254654,0.4059207111288282,12703,4764,634,2194,0,Logistic Regression (B),2
0.7374722838137472,0.7495381774271612,0.31709101551068186,0.7662659123055162,0.4485613744566342,0.7328104425488063,0.8265183471049753,0.4104845444184734,12800,4667,661,2167,0,Logistic Regression (B),3
0.7257452574525746,0.744948000144787,0.30723739791607996,0.7715700141442716,0.43947633434038275,0.7183259861453025,0.8236128580797623,0.3988585740501969,12547,4920,646,2182,0,Logistic Regression (B),4
0.7315462698334483,0.7465065104627333,0.31168271303348183,0.7672444287230279,0.44328632740649904,0.7257685922024388,0.8252909539316435,0.4110855686121056,12677,4790,658,2169,0,Logistic Regression (B),5
0.7345520843599094,0.7457325713743208,0.3135198135198135,0.7612309869119208,0.4441234134764214,0.7302341558367207,0.823358379434551,0.40828255554156745,12755,4712,675,2152,0,Logistic Regression (B),6
0.7302651029861043,0.7473928956618159,0.31111745397459684,0.7711354793066856,0.4433597722188326,0.7236503120169463,0.8236628901852194,0.40739859103805554,12640,4827,647,2180,0,Logistic Regression (B),7
0.72794914753129,0.7444500375836278,0.308545428693303,0.7673267326732673,0.4401176351282831,0.7215733424939883,0.8231316580153868,0.41147880159639366,12603,4863,658,2170,0,Logistic Regression (B),8
0.7306593081699024,0.7457281724639069,0.3108689417837683,0.7666195190947667,0.44235870230565194,0.7248368258330471,0.8250481719909736,0.4098740588911121,12660,4806,660,2168,0,Logistic Regression (B),9
0.7293781413225584,0.7417239895948176,0.30851063829787234,0.7588401697312589,0.4386753883892069,0.7246078094583763,0.8201128002823346,0.4062728964030596,12656,4810,682,2146,0,Logistic Regression (B),10
0.7167282581916729,0.742821288217855,0.3006687593831036,0.7789957567185289,0.4338749384539636,0.706646819717181,0.8198955634180729,0.41332665180235306,12343,5124,625,2203,0,Random Forest (B),1
0.7179600886917961,0.7484267969771894,0.30347448425624324,0.7906647807637907,0.43860337387210674,0.706188813190588,0.8264723723515324,0.4174800826863227,12335,5132,592,2236,0,Random Forest (B),2
0.7212121212121212,0.7531314556469346,0.3072207084468665,0.7973833097595474,0.44354838709677424,0.7088796015343218,0.8268892627512021,0.4240893642177489,12382,5085,573,2255,0,Random Forest (B),3
0.7119980290711998,0.7500011741680757,0.3003837501654096,0.8026874115983027,0.43716899374097257,0.6973149367378485,0.827611608926884,0.4201627374440483,12180,5287,558,2270,0,Random Forest (B),4
0.717847639696462,0.7552998266942672,0.3057751574433874,0.8072161301733286,0.44353741496598637,0.7033835232152058,0.8309377637053682,0.4318825342579822,12286,5181,545,2282,0,Random Forest (B),5
0.7230215827338129,0.7489663412793834,0.30683075221238937,0.7849310222851079,0.44119693806541405,0.7130016602736589,0.8268844788501978,0.4282812676746274,12454,5013,608,2219,0,Random Forest (B),6
0.7207056272789987,0.7538470492712834,0.3070759201412468,0.799787760877255,0.44376840039254173,0.7079063376653117,0.8308163462075708,0.4321350974101448,12365,5102,566,2261,0,Random Forest (B),7
