model_a,model_b,a_right_b_wrong,b_right_a_wrong,statistic,p_value,method,p_holm,significant
Gaussian Naive Bayes B,Original eLCS preprocessed,3852,2848,150.15059701492538,1.6071000519669662e-34,chi-square (continuity corrected),2.571360083147146e-33,True
Logistic Regression B,Random Forest B,2201,1527,121.493830472103,2.9792639409983614e-28,chi-square (continuity corrected),4.4688959114975424e-27,True
Logistic Regression A,Random Forest B,2209,1543,117.86380597014926,1.8571197610923165e-27,chi-square (continuity corrected),2.599967665529243e-26,True
Gaussian Naive Bayes B,Improved eLCS,3692,2829,113.94632725042172,1.338838320298468e-26,chi-square (continuity corrected),1.7404898163880084e-25,True
Logistic Regression C,Random Forest B,2842,2152,95.0582699239087,1.848628715387264e-22,chi-square (continuity corrected),2.218354458464717e-21,True
Original eLCS preprocessed,Random Forest B,2314,2960,78.88225255972696,6.592433616162098e-19,chi-square (continuity corrected),7.251676977778308e-18,True
Improved eLCS,Random Forest B,2319,2824,49.39062803811005,2.09745281350819e-12,chi-square (continuity corrected),2.09745281350819e-11,True
Gaussian Naive Bayes B,Random Forest B,3870,3512,17.264833378488216,3.2514917751016954e-05,chi-square (continuity corrected),0.0002926342597591526,True
Gaussian Naive Bayes B,Logistic Regression B,3226,3542,14.66090425531915,0.00012868799575365555,chi-square (continuity corrected),0.0010295039660292444,True
Gaussian Naive Bayes B,Logistic Regression A,3229,3537,13.929796039018623,0.00018976631236015677,chi-square (continuity corrected),0.0013283641865210975,True
Gaussian Naive Bayes B,Logistic Regression C,3962,4294,13.27046996124031,0.00026961960703389274,chi-square (continuity corrected),0.0016177176422033563,True
Improved eLCS,Original eLCS preprocessed,1556,1415,6.597105351733423,0.01021446974385021,chi-square (continuity corrected),0.051072348719251044,False
Logistic Regression A,Logistic Regression B,122,130,0.19444444444444445,0.6592430036926307,chi-square (continuity corrected),1.0,False
Logistic Regression A,Logistic Regression C,1516,1540,0.1731020942408377,0.6773694662863268,chi-square (continuity corrected),1.0,False
Logistic Regression B,Logistic Regression C,1478,1494,0.07570659488559893,0.7832022940099195,chi-square (continuity corrected),1.0,False
Gaussian Naive Bayes A,Random Forest C,5250,5240,0.007721639656816015,0.929977727125644,chi-square (continuity corrected),1.0,False
